Accession,Locus,Type,Description,Other,Name(Type),Source
AT2G25000,AT2G25000.1,factor.,Forms,protein,complexes,WYKY.csv
AT2G25000,AT2G25000.2,factor.,Forms,protein,complexes,WYKY.csv
AT2G25000,AT2G25000.3,factor.,Forms,protein,complexes,WYKY.csv
AT2G25000,AT2G25000.4,factor.,Forms,protein,complexes,WYKY.csv
AT2G25110,AT2G25110.1,endoplasmic,reticulum,protein,SDF2,immunity.csv
AT2G25110,AT2G25110.1,endoplasmic,reticulum,protein,SDF2,PAMPs.csv
AT2G25110,AT2G25110.1,endoplasmic,reticulum,protein,SDF2,pathogen.csv
AT2G26010,AT2G26010.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT2G26020,AT2G26020.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT2G26330,AT2G26330.1,receptor,protein,kinases.,Involved,fungus.csv
AT2G26330,AT2G26330.1,receptor,protein,kinases.,Involved,MAPk.csv
AT2G26530,AT2G26530.2,protein,involved,in,the,WYKY.csv
AT2G26530,AT2G26530.1,protein,involved,in,the,WYKY.csv
AT2G26560,AT2G26560.1,lipid,acyl,hydrolase,with,fungal.csv
AT2G26560,AT2G26560.1,lipid,acyl,hydrolase,with,infection.csv
AT2G26560,AT2G26560.1,lipid,acyl,hydrolase,with,pathogen.csv
AT2G27040,AT2G27040.2,a,member,of,a,pathogen.csv
AT2G27040,AT2G27040.1,a,member,of,a,pathogen.csv
AT2G27250,AT2G27250.1,the,three,CLAVATA,genes,immunity.csv
AT2G27250,AT2G27250.3,the,three,CLAVATA,genes,immunity.csv
AT2G27250,AT2G27250.2,the,three,CLAVATA,genes,immunity.csv
AT2G27250,AT2G27250.1,the,three,CLAVATA,genes,infection.csv
AT2G27250,AT2G27250.3,the,three,CLAVATA,genes,infection.csv
AT2G27250,AT2G27250.2,the,three,CLAVATA,genes,infection.csv
AT2G27480,AT2G27480.1,family,protein;(source:Araport11),"chloroplast,",biological,calcium.csv
AT2G27480,AT2G27480.2,family,protein;(source:Araport11),biological,process,calcium.csv
AT2G28230,AT2G28230.1,of,the,subunits,of,defense.csv
AT2G28230,AT2G28230.2,of,the,subunits,of,defense.csv
AT2G28230,AT2G28230.2,of,the,subunits,of,Salicylic Acid.csv
AT2G28230,AT2G28230.1,of,the,subunits,of,Salicylic Acid.csv
AT2G28260,AT2G28260.2,Cyclic,nucleotide,gated,channel,calcium.csv
AT2G28260,AT2G28260.1,Cyclic,nucleotide,gated,channel,calcium.csv
AT2G28550,AT2G28550.1,transcription,factor,that,is,immunity.csv
AT2G28550,AT2G28550.4,transcription,factor,that,is,immunity.csv
AT2G28550,AT2G28550.3,transcription,factor,that,is,immunity.csv
AT2G28550,AT2G28550.6,transcription,factor,that,is,immunity.csv
AT2G28550,AT2G28550.5,transcription,factor,that,is,immunity.csv
AT2G28550,AT2G28550.2,transcription,factor,that,is,immunity.csv
AT2G28790,AT2G28790.1,superfamily,protein;(source:Araport11),extracellular,"region,",pathogen.csv
AT2G28790,AT2G28790.2,superfamily,protein;(source:Araport11),extracellular,"region,",pathogen.csv
AT2G28830,AT2G28830.1,U-box,E3,ubiquitin,ligase,fungal.csv
AT2G29350,AT2G29350.3,senescence,associated,protein,required,defense.csv
AT2G29350,AT2G29350.1,senescence,associated,protein,required,defense.csv
AT2G29350,AT2G29350.2,senescence,associated,protein,required,defense.csv
AT2G29350,AT2G29350.3,senescence,associated,protein,required,fungal.csv
AT2G29350,AT2G29350.1,senescence,associated,protein,required,fungal.csv
AT2G29350,AT2G29350.2,senescence,associated,protein,required,fungal.csv
AT2G29350,AT2G29350.3,senescence,associated,protein,required,pathogen.csv
AT2G29350,AT2G29350.1,senescence,associated,protein,required,pathogen.csv
AT2G29350,AT2G29350.2,senescence,associated,protein,required,pathogen.csv
AT2G29420,AT2G29420.1,transferase,belonging,to,the,Salicylic Acid.csv
AT2G29450,AT2G29450.1,member,of,the,TAU,pathogen.csv
AT2G29580,AT2G29580.1,homologous,to,MAC5A.,MAC5A,immunity.csv
AT2G29690,AT2G29690.2,functional,anthranilate,synthase,protein.,pathogen.csv
AT2G29690,AT2G29690.1,functional,anthranilate,synthase,protein.,pathogen.csv
AT2G29890,AT2G29890.1,ubiquitously,expressed,villin-like,"protein,",calcium.csv
AT2G29890,AT2G29890.5,ubiquitously,expressed,villin-like,"protein,",calcium.csv
AT2G29890,AT2G29890.2,ubiquitously,expressed,villin-like,"protein,",calcium.csv
AT2G29890,AT2G29890.3,ubiquitously,expressed,villin-like,"protein,",calcium.csv
AT2G29890,AT2G29890.4,ubiquitously,expressed,villin-like,"protein,",calcium.csv
AT2G30020,AT2G30020.1,Belongs,to,the,clade,MAPk.csv
AT2G30040,AT2G30040.1,MEKK,subfamily.,Induced,by,MAPk.csv
AT2G30110,AT2G30110.1,ubiquitin-activating,enzyme,"(E1),",involved,defense.csv
AT2G30170,AT2G30170.6,chloroplast,PP2C,phosphatase,that,immunity.csv
AT2G30170,AT2G30170.1,chloroplast,PP2C,phosphatase,that,immunity.csv
AT2G30170,AT2G30170.7,chloroplast,PP2C,phosphatase,that,immunity.csv
AT2G30170,AT2G30170.5,chloroplast,PP2C,phosphatase,that,immunity.csv
AT2G30170,AT2G30170.3,chloroplast,PP2C,phosphatase,that,immunity.csv
AT2G30170,AT2G30170.2,chloroplast,PP2C,phosphatase,that,immunity.csv
AT2G30170,AT2G30170.4,chloroplast,PP2C,phosphatase,that,immunity.csv
AT2G30170,AT2G30170.5,chloroplast,PP2C,phosphatase,that,pathogen.csv
AT2G30170,AT2G30170.6,chloroplast,PP2C,phosphatase,that,pathogen.csv
AT2G30170,AT2G30170.7,chloroplast,PP2C,phosphatase,that,pathogen.csv
AT2G30170,AT2G30170.1,chloroplast,PP2C,phosphatase,that,pathogen.csv
AT2G30170,AT2G30170.3,chloroplast,PP2C,phosphatase,that,pathogen.csv
AT2G30170,AT2G30170.2,chloroplast,PP2C,phosphatase,that,pathogen.csv
AT2G30170,AT2G30170.4,chloroplast,PP2C,phosphatase,that,pathogen.csv
AT2G30250,AT2G30250.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT2G30590,AT2G30590.1,DNA-binding,protein,21,(WRKY21).,WYKY.csv
AT2G30750,AT2G30750.1,P450;,together,with,CYP71A13,defense.csv
AT2G30770,AT2G30770.1,P450;,together,with,CYP71A12,defense.csv
AT2G31500,AT2G31500.1,Calcium,Dependent,Protein,Kinase,calcium.csv
AT2G31880,AT2G31880.1,putative,leucine,rich,repeat,immunity.csv
AT2G31890,AT2G31890.1,putative,RNA,binding,domain.,infection.csv
AT2G32240,AT2G32240.1,protein,involved,in,defense,defense.csv
AT2G32240,AT2G32240.1,protein,involved,in,defense,PAMPs.csv
AT2G32450,AT2G32450.1,family,protein;(source:Araport11),"nucleus,",plasma,calcium.csv
AT2G32510,AT2G32510.1,MEKK,subfamily,involved,in,MAPk.csv
AT2G32680,AT2G32680.1,receptor,protein,involved,in,immunity.csv
AT2G32680,AT2G32680.1,receptor,protein,involved,in,PAMPs.csv
AT2G32690,AT2G32690.4,similar,in,structure,to,Salicylic Acid.csv
AT2G32690,AT2G32690.1,similar,in,structure,to,Salicylic Acid.csv
AT2G32690,AT2G32690.3,similar,in,structure,to,Salicylic Acid.csv
AT2G32690,AT2G32690.2,similar,in,structure,to,Salicylic Acid.csv
AT2G32690,AT2G32690.5,similar,in,structure,to,Salicylic Acid.csv
AT2G33320,AT2G33320.1,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT2G33340,AT2G33340.1,a,U-box,proteins,with,immunity.csv
AT2G33340,AT2G33340.3,a,U-box,proteins,with,immunity.csv
AT2G33340,AT2G33340.2,a,U-box,proteins,with,immunity.csv
AT2G33380,AT2G33380.1,calcium,binding,protein,whose,calcium.csv
AT2G33380,AT2G33380.2,calcium,binding,protein,whose,calcium.csv
AT2G33800,AT2G33800.1,"(SCA1),",a,nuclear,gene,polarity.csv
AT2G34020,AT2G34020.1,family,protein;(source:Araport11),"chloroplast,",calcium,calcium.csv
AT2G34020,AT2G34020.2,family,protein;(source:Araport11),"chloroplast,",calcium,calcium.csv
AT2G34030,AT2G34030.1,family,protein;(source:Araport11),"chloroplast,",calcium,calcium.csv
AT2G34650,AT2G34650.1,protein,serine/threonine,kinase,that,calcium.csv
AT2G34650,AT2G34650.1,protein,serine/threonine,kinase,that,polarity.csv
AT2G34690,AT2G34690.1,transports,the,glycolipid,precursor,defense.csv
AT2G34690,AT2G34690.1,transports,the,glycolipid,precursor,pathogen.csv
AT2G34830,AT2G34830.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT2G34830,AT2G34830.2,WRKY,Transcription,Factor;,Group,WYKY.csv
AT2G35000,AT2G35000.1,an,E3,ligase-like,protein,fungal.csv
AT2G35260,AT2G35260.1,self-immunity,protein;(source:Araport11),BALANCE,OF,immunity.csv
AT2G35630,AT2G35630.2,the,MAP215,family,of,polarity.csv
AT2G35630,AT2G35630.1,the,MAP215,family,of,polarity.csv
AT2G35800,AT2G35800.1,predicted,calcium-dependent,S-adenosyl,methionine,calcium.csv
AT2G35890,AT2G35890.2,Calcium,Dependent,Protein,Kinase,calcium.csv
AT2G35890,AT2G35890.1,Calcium,Dependent,Protein,Kinase,calcium.csv
AT2G35930,AT2G35930.1,cytoplasmically,localized,U-box,domain,immunity.csv
AT2G35930,AT2G35930.1,cytoplasmically,localized,U-box,domain,PAMPs.csv
AT2G36180,AT2G36180.1,calcium-binding,protein,family;(source:Araport11),"nucleus,",calcium.csv
AT2G36490,AT2G36490.1,of,transcriptional,gene,silencing.,pathogen.csv
AT2G36985,AT2G36985.1,a,member,of,the,polarity.csv
AT2G37260,AT2G37260.3,protein,similar,to,WRKY,WYKY.csv
AT2G37260,AT2G37260.2,protein,similar,to,WRKY,WYKY.csv
AT2G37260,AT2G37260.1,protein,similar,to,WRKY,WYKY.csv
AT2G37710,AT2G37710.1,response,to,Salicylic,acid.,Salicylic Acid.csv
AT2G38170,AT2G38170.2,high,affinity,vacuolar,calcium,calcium.csv
AT2G38170,AT2G38170.3,high,affinity,vacuolar,calcium,calcium.csv
AT2G38170,AT2G38170.1,high,affinity,vacuolar,calcium,calcium.csv
AT2G38270,AT2G38270.1,homologous,to,CXIP1.,CXIP1,calcium.csv
AT2G38470,AT2G38470.1,the,plant,WRKY,transcription,defense.csv
AT2G38470,AT2G38470.1,the,plant,WRKY,transcription,fungal.csv
AT2G38470,AT2G38470.1,the,plant,WRKY,transcription,pathogen.csv
AT2G38470,AT2G38470.1,the,plant,WRKY,transcription,WYKY.csv
AT2G38530,AT2G38530.1,lipid,transfer,between,membranes,pathogen.csv
AT2G38540,AT2G38540.1,transfer,protein.,Binds,calmodulin,pathogen.csv
AT2G38750,AT2G38750.1,a,family,of,calcium,calcium.csv
AT2G38750,AT2G38750.2,a,family,of,calcium,calcium.csv
AT2G38760,AT2G38760.1,calcium,binding,proteins,that,calcium.csv
AT2G38870,AT2G38870.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT2G38900,AT2G38900.2,encode,a,PR,(pathogenesis-related),pathogen.csv
AT2G38900,AT2G38900.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT2G38910,AT2G38910.1,Calcium,Dependent,Protein,Kinase,calcium.csv
AT2G39020,AT2G39020.1,locus,shares,considerable,sequence,defense.csv
AT2G39030,AT2G39030.1,protein,that,acts,as,defense.csv
AT2G39660,AT2G39660.1,plasma,membrane-localized,ser/thr,protein,defense.csv
AT2G39660,AT2G39660.1,plasma,membrane-localized,ser/thr,protein,infection.csv
AT2G39660,AT2G39660.1,plasma,membrane-localized,ser/thr,protein,pathogen.csv
AT2G39660,AT2G39660.1,plasma,membrane-localized,ser/thr,protein,Salicylic Acid.csv
AT2G39740,AT2G39740.1,(HEN1,suppressor,"1),",a,small_RNAs.csv
AT2G39740,AT2G39740.3,(HEN1,suppressor,"1),",a,small_RNAs.csv
AT2G39740,AT2G39740.2,(HEN1,suppressor,"1),",a,small_RNAs.csv
AT2G40030,AT2G40030.1,unique,largest,subunit,of,pathogen.csv
AT2G40030,AT2G40030.2,unique,largest,subunit,of,pathogen.csv
AT2G40030,AT2G40030.1,unique,largest,subunit,of,Salicylic Acid.csv
AT2G40030,AT2G40030.2,unique,largest,subunit,of,Salicylic Acid.csv
AT2G40180,AT2G40180.1,a,member,of,the,MAPk.csv
AT2G40410,AT2G40410.1,Ca(2+)-dependent,nuclease,that,can,calcium.csv
AT2G40410,AT2G40410.2,Ca(2+)-dependent,nuclease,that,can,calcium.csv
AT2G40740,AT2G40740.2,WRKY,Transcription,Factor;,Group,WYKY.csv
AT2G40740,AT2G40740.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT2G40740,AT2G40740.3,WRKY,Transcription,Factor;,Group,WYKY.csv
AT2G40750,AT2G40750.1,WRKY,Transcription,Factor;,Group,immunity.csv
AT2G40750,AT2G40750.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT2G40815,AT2G40815.2,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT2G40815,AT2G40815.1,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT2G41090,AT2G41090.1,"cytoplasmic,",calcium,binding,calmodulin,calcium.csv
AT2G41100,AT2G41100.1,calmodulin-like,"protein,",with,six,calcium.csv
AT2G41100,AT2G41100.3,calmodulin-like,"protein,",with,six,calcium.csv
AT2G41100,AT2G41100.5,calmodulin-like,"protein,",with,six,calcium.csv
AT2G41100,AT2G41100.2,calmodulin-like,"protein,",with,six,calcium.csv
AT2G41100,AT2G41100.7,calmodulin-like,"protein,",with,six,calcium.csv
AT2G41100,AT2G41100.4,calmodulin-like,"protein,",with,six,calcium.csv
AT2G41100,AT2G41100.6,calmodulin-like,"protein,",with,six,calcium.csv
AT2G41410,AT2G41410.1,family,protein;(source:Araport11),L,mature,calcium.csv
AT2G41860,AT2G41860.2,Calcium,Dependent,Protein,Kinase,calcium.csv
AT2G41860,AT2G41860.1,Calcium,Dependent,Protein,Kinase,calcium.csv
AT2G42590,AT2G42590.2,Binds,calcium,and,displays,calcium.csv
AT2G42590,AT2G42590.3,Binds,calcium,and,displays,calcium.csv
AT2G42590,AT2G42590.1,Binds,calcium,and,displays,calcium.csv
AT2G43120,AT2G43120.1,member,of,the,functionally,pathogen.csv
AT2G43120,AT2G43120.2,member,of,the,functionally,pathogen.csv
AT2G43280,AT2G43280.1,of,four,FRS,(FAR1-RELATED,WYKY.csv
AT2G43280,AT2G43280.2,of,four,FRS,(FAR1-RELATED,WYKY.csv
AT2G43510,AT2G43510.1,the,defensin-like,(DEFL),family.,defense.csv
AT2G43520,AT2G43520.1,trypsin,inhibitor,protein,which,defense.csv
AT2G43710,AT2G43710.1,stearoyl-ACP,"desaturase,",involved,in,defense.csv
AT2G43710,AT2G43710.2,stearoyl-ACP,"desaturase,",involved,in,defense.csv
AT2G43790,AT2G43790.1,MAP,kinase,induced,by,MAPk.csv
AT2G43790,AT2G43790.1,MAP,kinase,induced,by,pathogen.csv
AT2G43820,AT2G43820.1,nicotinate-O-glycosyltransferase.,Induced,by,Salicylic,fungus.csv
AT2G43820,AT2G43820.1,nicotinate-O-glycosyltransferase.,Induced,by,Salicylic,Salicylic Acid.csv
AT2G43840,AT2G43840.1,UDP:glucose,to,salicylic,acid,Salicylic Acid.csv
AT2G43840,AT2G43840.2,UDP:glucose,to,salicylic,acid,Salicylic Acid.csv
AT2G44270,AT2G44270.1,a,repressor,of,lrx1,ROS.csv
AT2G44310,AT2G44310.1,family,protein;(source:Araport11),"nucleus,",LP.02,calcium.csv
AT2G44745,AT2G44745.1,family,member,involved,in,WYKY.csv
AT2G45180,AT2G45180.1,gene.,Expression,is,strongly,pathogen.csv
AT2G45450,AT2G45450.1,small,leucine,zipper-containing,protein,polarity.csv
AT2G46070,AT2G46070.3,MAP,kinase,protein.,MPK12,MAPk.csv
AT2G46070,AT2G46070.2,MAP,kinase,protein.,MPK12,MAPk.csv
AT2G46070,AT2G46070.1,MAP,kinase,protein.,MPK12,MAPk.csv
AT2G46130,AT2G46130.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT2G46130,AT2G46130.2,WRKY,Transcription,Factor;,Group,WYKY.csv
AT2G46240,AT2G46240.1,of,Arabidopsis,BAG,(Bcl-2-associated,fungal.csv
AT2G46240,AT2G46240.1,of,Arabidopsis,BAG,(Bcl-2-associated,pathogen.csv
AT2G46370,AT2G46370.2,jasmonate-amido,synthetase,that,is,defense.csv
AT2G46370,AT2G46370.3,jasmonate-amido,synthetase,that,is,defense.csv
AT2G46370,AT2G46370.4,jasmonate-amido,synthetase,that,is,defense.csv
AT2G46370,AT2G46370.1,jasmonate-amido,synthetase,that,is,defense.csv
AT2G46370,AT2G46370.3,jasmonate-amido,synthetase,that,is,pathogen.csv
AT2G46370,AT2G46370.2,jasmonate-amido,synthetase,that,is,pathogen.csv
AT2G46370,AT2G46370.4,jasmonate-amido,synthetase,that,is,pathogen.csv
AT2G46370,AT2G46370.1,jasmonate-amido,synthetase,that,is,pathogen.csv
AT2G46400,AT2G46400.1,WRKY,transcription,factor,that,WYKY.csv
AT2G46440,AT2G46440.1,Cyclic,nucleotide,gated,channel,fungal.csv
AT2G46440,AT2G46440.2,Cyclic,nucleotide,gated,channel,fungal.csv
AT2G46440,AT2G46440.1,Cyclic,nucleotide,gated,channel,pathogen.csv
AT2G46440,AT2G46440.2,Cyclic,nucleotide,gated,channel,pathogen.csv
AT2G46450,AT2G46450.3,Cyclic,nucleotide,gated,channel,fungal.csv
AT2G46450,AT2G46450.4,Cyclic,nucleotide,gated,channel,fungal.csv
AT2G46450,AT2G46450.2,Cyclic,nucleotide,gated,channel,fungal.csv
AT2G46450,AT2G46450.1,Cyclic,nucleotide,gated,channel,fungal.csv
AT2G46450,AT2G46450.3,Cyclic,nucleotide,gated,channel,pathogen.csv
AT2G46450,AT2G46450.4,Cyclic,nucleotide,gated,channel,pathogen.csv
AT2G46450,AT2G46450.1,Cyclic,nucleotide,gated,channel,pathogen.csv
AT2G46450,AT2G46450.2,Cyclic,nucleotide,gated,channel,pathogen.csv
AT2G46600,AT2G46600.1,family,protein;(source:Araport11),"nucleus,",L,calcium.csv
AT2G47010,AT2G47010.3,LP.04,four,leaves,visible,calcium.csv
AT2G47010,AT2G47010.1,LP.04,four,leaves,visible,calcium.csv
AT2G47010,AT2G47010.2,LP.04,four,leaves,visible,calcium.csv
AT2G47090,AT2G47090.3,ligase.,Regulates,the,stability,WYKY.csv
AT2G47090,AT2G47090.5,ligase.,Regulates,the,stability,WYKY.csv
AT2G47090,AT2G47090.4,ligase.,Regulates,the,stability,WYKY.csv
AT2G47090,AT2G47090.1,ligase.,Regulates,the,stability,WYKY.csv
AT2G47090,AT2G47090.2,ligase.,Regulates,the,stability,WYKY.csv
AT2G47130,AT2G47130.1,short-chain,dehydrogenase/reductase,that,is,defense.csv
AT2G47260,AT2G47260.1,member,of,WRKY,Transcription,WYKY.csv
AT2G47270,AT2G47270.1,"(UPB1),",a,transcription,factor,ROS.csv
AT2G47370,AT2G47370.2,superfamily,protein;(source:Araport11),extracellular,"region,",calcium.csv
AT2G47370,AT2G47370.1,superfamily,protein;(source:Araport11),extracellular,"region,",calcium.csv
AT2G47760,AT2G47760.2,"&#945;-1,3-mannosyltransferase.",Plants,with,mutations,MAMPs.csv
AT2G47760,AT2G47760.5,"&#945;-1,3-mannosyltransferase.",Plants,with,mutations,MAMPs.csv
AT2G47760,AT2G47760.3,"&#945;-1,3-mannosyltransferase.",Plants,with,mutations,MAMPs.csv
AT2G47760,AT2G47760.1,"&#945;-1,3-mannosyltransferase.",Plants,with,mutations,MAMPs.csv
AT2G47760,AT2G47760.4,"&#945;-1,3-mannosyltransferase.",Plants,with,mutations,MAMPs.csv
AT3G01080,AT3G01080.3,WRKY,Transcription,Factor;,Group,WYKY.csv
AT3G01080,AT3G01080.2,WRKY,Transcription,Factor;,Group,WYKY.csv
AT3G01080,AT3G01080.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT3G01210,AT3G01210.2,"partner,",may,be,involved,defense.csv
AT3G01210,AT3G01210.1,"partner,",may,be,involved,defense.csv
AT3G01310,AT3G01310.3,functional,VIP1/PPIP5K-type,ATP-grasp,kinase,defense.csv
AT3G01310,AT3G01310.1,functional,VIP1/PPIP5K-type,ATP-grasp,kinase,defense.csv
AT3G01310,AT3G01310.2,functional,VIP1/PPIP5K-type,ATP-grasp,kinase,defense.csv
AT3G01420,AT3G01420.1,alpha-dioxygenase,involved,in,protection,Salicylic Acid.csv
AT3G01490,AT3G01490.1,the,Raf-like,kinase,subfamily,MAPk.csv
AT3G01490,AT3G01490.2,the,Raf-like,kinase,subfamily,MAPk.csv
AT3G01500,AT3G01500.2,putative,beta-carbonic,anhydrase,betaCA1.,immunity.csv
AT3G01500,AT3G01500.4,putative,beta-carbonic,anhydrase,betaCA1.,immunity.csv
AT3G01500,AT3G01500.3,putative,beta-carbonic,anhydrase,betaCA1.,immunity.csv
AT3G01500,AT3G01500.1,putative,beta-carbonic,anhydrase,betaCA1.,immunity.csv
AT3G01500,AT3G01500.2,putative,beta-carbonic,anhydrase,betaCA1.,Salicylic Acid.csv
AT3G01500,AT3G01500.4,putative,beta-carbonic,anhydrase,betaCA1.,Salicylic Acid.csv
AT3G01500,AT3G01500.3,putative,beta-carbonic,anhydrase,betaCA1.,Salicylic Acid.csv
AT3G01500,AT3G01500.1,putative,beta-carbonic,anhydrase,betaCA1.,Salicylic Acid.csv
AT3G01830,AT3G01830.1,family,protein;(source:Araport11),"nucleus,",LP.02,calcium.csv
AT3G01830,AT3G01830.2,family,protein;(source:Araport11),"nucleus,",LP.02,calcium.csv
AT3G01970,AT3G01970.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT3G03040,AT3G03040.1,protein.,Idenfitied,in,GWAS,defense.csv
AT3G03280,AT3G03280.1,up-regulated,after,infection,by,infection.csv
AT3G03400,AT3G03400.1,calcium-binding,protein,family;(source:Araport11),"nucleus,",calcium.csv
AT3G03410,AT3G03410.1,calcium-binding,protein,family;(source:Araport11),biological,calcium.csv
AT3G03430,AT3G03430.1,family,protein;(source:Araport11),"mitochondrion,",L,calcium.csv
AT3G04210,AT3G04210.2,a,TIR-NBS,protein,involved,immunity.csv
AT3G04210,AT3G04210.1,a,TIR-NBS,protein,involved,immunity.csv
AT3G04220,AT3G04220.3,miR825/825.,Mutants,have,decreased,fungal.csv
AT3G04220,AT3G04220.1,miR825/825.,Mutants,have,decreased,fungal.csv
AT3G04220,AT3G04220.2,miR825/825.,Mutants,have,decreased,fungal.csv
AT3G04220,AT3G04220.3,miR825/825.,Mutants,have,decreased,pathogen.csv
AT3G04220,AT3G04220.1,miR825/825.,Mutants,have,decreased,pathogen.csv
AT3G04220,AT3G04220.2,miR825/825.,Mutants,have,decreased,pathogen.csv
AT3G04360,AT3G04360.1,(CaLB,domain),family,protein;(source:Araport11),calcium.csv
AT3G04490,AT3G04490.2,XPO4,coordinates,the,nuclear,defense.csv
AT3G04490,AT3G04490.4,XPO4,coordinates,the,nuclear,defense.csv
AT3G04490,AT3G04490.1,XPO4,coordinates,the,nuclear,defense.csv
AT3G04490,AT3G04490.3,XPO4,coordinates,the,nuclear,defense.csv
AT3G04490,AT3G04490.2,XPO4,coordinates,the,nuclear,immunity.csv
AT3G04490,AT3G04490.4,XPO4,coordinates,the,nuclear,immunity.csv
AT3G04490,AT3G04490.1,XPO4,coordinates,the,nuclear,immunity.csv
AT3G04490,AT3G04490.3,XPO4,coordinates,the,nuclear,immunity.csv
AT3G04490,AT3G04490.2,XPO4,coordinates,the,nuclear,Salicylic Acid.csv
AT3G04490,AT3G04490.4,XPO4,coordinates,the,nuclear,Salicylic Acid.csv
AT3G04490,AT3G04490.1,XPO4,coordinates,the,nuclear,Salicylic Acid.csv
AT3G04490,AT3G04490.3,XPO4,coordinates,the,nuclear,Salicylic Acid.csv
AT3G04670,AT3G04670.2,WRKY,Transcription,Factor;,Group,WYKY.csv
AT3G04670,AT3G04670.1,WRKY,Transcription,Factor;,Group,WYKY.csv
AT3G04715,AT3G04715.1,qRT-PCR,"data,",this,annotated,infection.csv
AT3G04717,AT3G04717.1,qRT-PCR,"data,",this,annotated,infection.csv
AT3G04720,AT3G04720.1,protein,similar,to,the,fungal.csv
AT3G04720,AT3G04720.1,protein,similar,to,the,infection.csv
AT3G04720,AT3G04720.1,protein,similar,to,the,pathogen.csv
AT3G05710,AT3G05710.1,member,of,SYP4,Gene,fungal.csv
AT3G05710,AT3G05710.2,member,of,SYP4,Gene,fungal.csv
AT3G05710,AT3G05710.1,member,of,SYP4,Gene,pathogen.csv
AT3G05710,AT3G05710.2,member,of,SYP4,Gene,pathogen.csv
AT3G06030,AT3G06030.1,kinase,3,ANP3;,ATANP3;,MAPk.csv
AT3G06090,AT3G06090.1,prePIP1,PRECURSOR,OF,PAMP-INDUCED,PAMPs.csv
AT3G06110,AT3G06110.1,nuclear-localized,MAP,kinase,phosphatase.,MAPk.csv
AT3G06110,AT3G06110.3,nuclear-localized,MAP,kinase,phosphatase.,MAPk.csv
AT3G06110,AT3G06110.2,nuclear-localized,MAP,kinase,phosphatase.,MAPk.csv
AT3G06490,AT3G06490.1,MYB,transcription,factor,involved,immunity.csv
AT3G06590,AT3G06590.2,a,bHLH,transcription,factor,ROS.csv
AT3G06590,AT3G06590.3,a,bHLH,transcription,factor,ROS.csv
AT3G06590,AT3G06590.1,a,bHLH,transcription,factor,ROS.csv
AT3G06590,AT3G06590.4,a,bHLH,transcription,factor,ROS.csv
AT3G07500,AT3G07500.1,of,four,FRS,(FAR1-RELATED,WYKY.csv
AT3G07910,AT3G07910.1,species,modulator-like,protein;(source:Araport11),L,ROS.csv
AT3G07940,AT3G07940.1,GTPase,activating,protein,family;(source:Araport11),calcium.csv
AT3G07940,AT3G07940.2,GTPase,activating,protein,family;(source:Araport11),calcium.csv
AT3G07980,AT3G07980.1,protein,kinase,2,is,MAPk.csv
AT3G07980,AT3G07980.2,protein,kinase,2,is,MAPk.csv
AT3G07980,AT3G07980.3,protein,kinase,2,is,MAPk.csv
AT3G08510,AT3G08510.1,C,"(PI-PLC),",catalyzes,hydrolysis,immunity.csv
AT3G08510,AT3G08510.4,C,"(PI-PLC),",catalyzes,hydrolysis,immunity.csv
AT3G08510,AT3G08510.3,C,"(PI-PLC),",catalyzes,hydrolysis,immunity.csv
AT3G08510,AT3G08510.2,C,"(PI-PLC),",catalyzes,hydrolysis,immunity.csv
AT3G08510,AT3G08510.1,C,"(PI-PLC),",catalyzes,hydrolysis,MAMPs.csv
AT3G08510,AT3G08510.3,C,"(PI-PLC),",catalyzes,hydrolysis,MAMPs.csv
AT3G08510,AT3G08510.4,C,"(PI-PLC),",catalyzes,hydrolysis,MAMPs.csv
AT3G08510,AT3G08510.2,C,"(PI-PLC),",catalyzes,hydrolysis,MAMPs.csv
AT3G08770,AT3G08770.1,encode,a,PR,(pathogenesis-related),pathogen.csv
AT3G08770,AT3G08770.2,encode,a,PR,(pathogenesis-related),pathogen.csv
AT3G09260,AT3G09260.1,major,constituent,of,ER,fungus.csv
AT3G09590,AT3G09590.1,secretory,"proteins,",Antigen,"5,",pathogen.csv
AT3G09830,AT3G09830.2,member,of,subfamily,VIIa,immunity.csv
AT3G09830,AT3G09830.1,member,of,subfamily,VIIa,immunity.csv
AT3G09830,AT3G09830.3,member,of,subfamily,VIIa,immunity.csv
AT3G09940,AT3G09940.2,member,of,the,monodehydroascorbate,fungus.csv
AT3G09940,AT3G09940.1,member,of,the,monodehydroascorbate,fungus.csv
AT3G09980,AT3G09980.1,a,microtubules-associated,protein,required,immunity.csv
